Omni Los Angeles Hotel at California Plaza		2014-02-19	4	The Omni is a very nice hotel. Older, but very well kept. Not as new as other I have stayed at, but again very well maintained. The room was perfectly up to date. Price was excellent compared to similar hotels like the Marriot, which is where I last stayed. The Marriot was a bit nicer in that it is newer, but value wise, I'm happy I chose the Omni this time. Because of location the Omni would be an excellent choice if you are planning a visit to the Music Center.	<span itemprop="streetAddress">251 South Olive Street, 251 South Olive Street, </span><span itemprop="addressLocality">Los Angeles</span>, <span itemprop="addressRegion">CA</span> <span itemprop="postalCode">90012</span>
Omni Los Angeles Hotel at California Plaza		2014-02-18	5	Great location for downtown activities and central enough to get to other parts of town easily. Rooms are spacious and quiet. Staff is incredibly friendly. Would happily stay at the Omni again.   	<span itemprop="streetAddress">251 South Olive Street, 251 South Olive Street, </span><span itemprop="addressLocality">Los Angeles</span>, <span itemprop="addressRegion">CA</span> <span itemprop="postalCode">90012</span>
Omni Los Angeles Hotel at California Plaza		2014-02-13	4	Very good experience all staff was very helpful and kind. Liked the location   	<span itemprop="streetAddress">251 South Olive Street, 251 South Olive Street, </span><span itemprop="addressLocality">Los Angeles</span>, <span itemprop="addressRegion">CA</span> <span itemprop="postalCode">90012</span>
Omni Los Angeles Hotel at California Plaza		2014-01-30	4	Stayed two nights while attending a conference in LA. It wasn't convenient to the Nokia Theater, but I had a good time exploring the nearby Disney Concert Hall and the Museum of Contemporary Art. -newline-  -newline- The hotel was quiet, in good shape and the interior finishes looked fairly current. The interior architectural design, however, is dated. -newline-  -newline- The bellman staff was fantastic and the front desk was very helpful..	<span itemprop="streetAddress">251 South Olive Street, 251 South Olive Street, </span><span itemprop="addressLocality">Los Angeles</span>, <span itemprop="addressRegion">CA</span> <span itemprop="postalCode">90012</span>
Omni Los Angeles Hotel at California Plaza		2014-01-22	4	Great location easy access to local area including -newline- LA lived and Staple Center . Little Tokyo just a walking distance . It's a idea place if you like Asian cousin   	<span itemprop="streetAddress">251 South Olive Street, 251 South Olive Street, </span><span itemprop="addressLocality">Los Angeles</span>, <span itemprop="addressRegion">CA</span> <span itemprop="postalCode">90012</span>
Omni Los Angeles Hotel at California Plaza		2014-01-21	4	I stayed for 3 nights with my two-and-a-half year old son. The staff was universally friendly and helpful, catering to our requests with apparent pleasure. The room was perfectly clean and very comfortable. At my request, the staff provided a crib; it was quite small but adequate. -newline-  -newline- Room service was fast and the food was delicious. We didn't visit any of the on-site restaurants or cafes. -newline-  -newline- My only concern with the room is that there was a very low window with no screen that my son could open (I parked the crib in front of it thereby forestalling the problem). -newline-  -newline- The pool is an outdoor pool, supposedly heated - but we found it to be too cold for a swim after sundown. There is no hot tub. The exercise room is well-appointed and wasn't busy while we were there. I would have liked to indulge in spa services, but couldn't do so with a toddler in tow. -newline-  -newline- The location is great for taking public transportation to attractions all over the city (e.g. the Zoo and the La Brea Tar Pits). It is, however, pretty weird if you're on foot: on one side of the hotel the street is on the first/ground level; on the other side it's on the third floor level. If you manage to find yourself below street level (easily done) you can wander about for quite a distance before figuring out where you ought to be. (Of course this isn't the fault of the hotel, just something to be prepared for if you visit.) -newline-  -newline- Also be aware that the financial district does keep standard business hours, so many local cafes might be closed on weekends and/or evenings.	<span itemprop="streetAddress">251 South Olive Street, 251 South Olive Street, </span><span itemprop="addressLocality">Los Angeles</span>, <span itemprop="addressRegion">CA</span> <span itemprop="postalCode">90012</span>
Omni Los Angeles Hotel at California Plaza		2014-01-02	3	The hotel located in downtown LA which is far away from those landmarks and nice restaurants. It is more a business environment for those who goes there for business. If you want travel there, suggest not live in this hotel. They offer tour to those landmarks which is called Starline. It is good but the price is fairly high.	<span itemprop="streetAddress">251 South Olive Street, 251 South Olive Street, </span><span itemprop="addressLocality">Los Angeles</span>, <span itemprop="addressRegion">CA</span> <span itemprop="postalCode">90012</span>
Omni Los Angeles Hotel at California Plaza		2013-12-16	4	Hotel was very clean, pleasant and staff was friendly and helpful. Beds were super comfortable too!   	<span itemprop="streetAddress">251 South Olive Street, 251 South Olive Street, </span><span itemprop="addressLocality">Los Angeles</span>, <span itemprop="addressRegion">CA</span> <span itemprop="postalCode">90012</span>
Omni Los Angeles Hotel at California Plaza		2013-12-02	5	I stayed during Thanksgiving season. Great deals available and staff was very nice. Room services were clean and easy to access. Complementary drinks were good.   	<span itemprop="streetAddress">251 South Olive Street, 251 South Olive Street, </span><span itemprop="addressLocality">Los Angeles</span>, <span itemprop="addressRegion">CA</span> <span itemprop="postalCode">90012</span>
Omni Los Angeles Hotel at California Plaza		2013-11-28	5	Great place for travelling. Nice stuff. Nice fruits water!   	<span itemprop="streetAddress">251 South Olive Street, 251 South Olive Street, </span><span itemprop="addressLocality">Los Angeles</span>, <span itemprop="addressRegion">CA</span> <span itemprop="postalCode">90012</span>
